NAMELSAD,LAT,LON,acs2022_5yr_total 65 and older,acs2022_5yr_65_proportion
Census Tract 4045.01,37.8271275,-122.2171515,411,0.225824176
Census Tract 4038,37.8148236,-122.2416662,621,0.15494012
Census Tract 4039,37.8171784,-122.2487713,691,0.177955189
Census Tract 4040,37.8233126,-122.2536627,433,0.137678855
Census Tract 4383,37.6282241,-122.088523,465,0.119261349
Census Tract 4337,37.6876466,-122.1145204,322,0.10304
Census Tract 4507.01,37.5511338,-121.8054596,1306,0.149462119
Census Tract 4036,37.8135239,-122.2534812,463,0.091574367
Census Tract 4353,37.6807762,-122.0646561,923,0.191812136
Census Tract 4098,37.7603601,-122.1557634,384,0.10937055
Census Tract 4403.06,37.5849957,-122.0683439,607,0.160285186
Census Tract 4506.01,37.653267,-121.9307573,816,0.222585925
Census Tract 4357,37.6786744,-122.1161142,958,0.198796431
Census Tract 4006,37.8419909,-122.2648882,160,0.077745384
Census Tract 4420,37.5590456,-121.9353151,592,0.198724404
Census Tract 4261,37.8216083,-122.2252725,1591,0.252539683
Census Tract 4001,37.8676563,-122.2318813,884,0.270419088
Census Tract 4045.02,37.8346277,-122.2024752,1359,0.222422259
Census Tract 4375,37.6440336,-122.0793901,411,0.098513902
Census Tract 4411,37.5856169,-121.9620462,1109,0.239421416
Census Tract 4515.03,37.6849518,-121.7489971,993,0.16268021
Census Tract 4081,37.7854008,-122.1572103,1354,0.185149733
Census Tract 4507.42,37.6677204,-121.8281073,1067,0.194176524
Census Tract 4403.01,37.6012643,-122.0427413,910,0.12864009
Census Tract 4068,37.7978944,-122.1949575,728,0.183329136
Census Tract 4305,37.7049262,-122.1091621,863,0.13808
Census Tract 4220,37.8592091,-122.3016412,409,0.166734611
Census Tract 4422,37.5345806,-121.942108,709,0.097216509
Census Tract 4364.02,37.6668235,-122.0404127,608,0.226190476
Census Tract 4507.41,37.6602378,-121.8650769,1155,0.201149425
Census Tract 4216,37.8839086,-122.2560313,981,0.254540737
Census Tract 4311,37.6881137,-122.0672905,338,0.103712795
Census Tract 4212,37.8963668,-122.2746996,1268,0.35648018
Census Tract 4228,37.8667875,-122.259979,85,0.009465479
Census Tract 4050,37.8120851,-122.2190899,657,0.179263302
Census Tract 4009,37.839413,-122.280255,136,0.047819972
Census Tract 4007,37.8417014,-122.2722628,475,0.099831862
Census Tract 4008,37.8454176,-122.2832338,555,0.128027682
Census Tract 4516.02,37.6712489,-121.7756214,1510,0.218555507
Census Tract 4002,37.8481378,-122.2495916,553,0.257568701
Census Tract 4352,37.6880455,-122.0490826,1127,0.242522057
Census Tract 4103,37.7466798,-122.1661407,162,0.041613152
Census Tract 4099,37.7620318,-122.1358942,933,0.234245544
Census Tract 4213,37.8910377,-122.2812606,1202,0.299675891
Census Tract 4232,37.8645164,-122.2936857,293,0.097569098
Census Tract 4060,37.79237,-122.2603108,764,0.161351637
Census Tract 4239.02,37.8548712,-122.257602,284,0.187830688
